Proporcionamiento,1m$^3$ concreto,hidraulico $f_c$ = 420,kg/cm$^2$ 
Material, Peso kg, Volumen l, Saco (l) 
Cemento,492.682926829,156.407278358,50 kg 
Agua,352.616530992,352.616530992,35.7853410165 
Grava,988.32,732.088888889,74.296149615 
Arena,506.910823074,320.829634857,32.5594431414 
