Proporcionamiento,1m$^3$ concreto,hidraulico $f_c$ = 150,kg/cm$^2$ 
Material, Peso kg, Volumen l, Saco (l) 
Cemento,326.483491111,103.645552734,50 kg 
Agua,370.920628846,370.920628846,56.8054187953 
Grava,988.32,732.088888889,112.117290586 
Arena,631.428495549,399.638288322,61.2034450751 
