Proporcionamiento,1m$^3$ concreto,hidraulico $f_c$ = 250,kg/cm$^2$ 
Material, Peso kg, Volumen l, Saco (l) 
Cemento,419.709112496,133.240988094,50 kg 
Agua,360.65338041,360.65338041,42.9646831189 
Grava,988.32,732.088888889,87.2138425271 
Arena,561.583268098,355.432448163,42.3427127957 
